LSOA,percentage_HFSS,percentage_non_HFSS
E01011372,0,0
E01011662,0,0
E01011368,0,0
E01011363,58.33,41.67
E01011625,100,0
E01011427,0,0
E01033021,0,100
E01011726,0,0
E01011448,0,0
E01011341,81.82,18.18
E01011319,0,0
E01011597,33.33,66.67
E01011267,100,0
E01011477,50,50
E01032489,0,0
E01011287,66.67,33.33
E01011388,0,100
E01011651,0,0
E01011445,0,0
E01011383,0,0
E01011329,0,0
E01011642,0,0
E01032496,50,50
E01033015,57.14,42.86
E01011605,0,0
E01011694,100,0
E01011522,75,25
E01011397,0,0
E01011353,0,0
E01011271,0,0
