LSOA,Proportion_ads_HFSS,Proportion_ads_non_HFSS
E01011372,0/0,0/0
E01011662,0/0,0/0
E01011368,0/0,0/0
E01011363,7/12,5/12
E01011625,2/2,0/2
E01011427,0/0,0/0
E01033021,0/1,1/1
E01011726,0/0,0/0
E01011448,0/0,0/0
E01011341,8/11,3/11
E01011319,0/0,0/0
E01011597,3/9,6/9
E01011267,1/1,0/1
E01011477,2/4,2/4
E01032489,0/0,0/0
E01011287,2/3,1/3
E01011388,0/2,2/2
E01011651,0/0,0/0
E01011445,0/0,0/0
E01011383,0/0,0/0
E01011329,0/0,0/0
E01011642,0/0,0/0
E01032496,1/2,1/2
E01033015,4/7,3/7
E01011605,0/0,0/0
E01011694,3/3,0/3
E01011522,3/4,1/4
E01011397,0/0,0/0
E01011353,0/0,0/0
E01011271,0/0,0/0
